ndc,awp,wac,nadac,federal_rebate,state_rebate,effective_date
5990598147,370.98,315.33,148.39,0.1497,0.0746,2025-05-18
7914049146,2229.78,1895.31,891.91,0.1119,0.0588,2025-02-17
6292526544,1775.76,1509.4,710.3,0.1768,0.1315,2025-06-08
4489366154,1925.23,1636.45,770.09,0.1483,0.1478,2025-01-24
1112877558,1003.68,853.13,401.47,0.1794,0.132,2025-06-17
8420083929,2006.33,1705.38,802.53,0.1778,0.0603,2024-11-08
9632537265,2434.78,2069.56,973.91,0.1526,0.1104,2025-09-15
9665543777,820.47,697.4,328.19,0.1918,0.1082,2025-04-20
2863288092,2402.33,2041.98,960.93,0.1406,0.1474,2024-11-16
1465646476,2368.15,2012.93,947.26,0.1447,0.0852,2025-05-08
3210274938,1844.68,1567.98,737.87,0.1617,0.1472,2025-09-01
8737290879,1776.42,1509.96,710.57,0.119,0.1138,2024-09-22
4032098775,1560.96,1326.82,624.38,0.2173,0.0886,2025-04-22
7951524298,1513.37,1286.36,605.35,0.132,0.0527,2024-11-18
4738531535,1603.73,1363.17,641.49,0.2172,0.1498,2025-07-31
7347065028,1679.16,1427.29,671.66,0.1935,0.1152,2025-08-11
9708614058,1488.53,1265.25,595.41,0.2126,0.1046,2024-09-23
5498757155,1688.99,1435.64,675.6,0.1887,0.1218,2024-11-20
9395894772,1462.14,1242.82,584.86,0.2002,0.1223,2024-11-06
5142418840,404.11,343.49,161.64,0.1809,0.132,2025-04-26
8909265838,2016.68,1714.18,806.67,0.1176,0.0749,2025-05-05
8766947864,1682.72,1430.31,673.09,0.1347,0.1078,2025-03-13
2953068327,2356.42,2002.96,942.57,0.1236,0.0648,2025-04-09
5728041589,125.87,106.99,50.35,0.1815,0.0538,2024-10-02
4477530281,787.53,669.4,315.01,0.2055,0.1332,2025-04-27
9137949022,1675.65,1424.3,670.26,0.1493,0.1376,2024-10-01
2114345078,2336.95,1986.41,934.78,0.1618,0.0527,2024-11-09
8968961974,1997.73,1698.07,799.09,0.1352,0.0541,2025-01-22
2339761642,841.01,714.86,336.4,0.1749,0.1166,2025-06-28
7644829989,1564.23,1329.6,625.69,0.1718,0.0722,2024-11-05
5632329173,1185.38,1007.57,474.15,0.1191,0.0812,2025-03-06
6996082031,1545.87,1313.99,618.35,0.2269,0.0923,2024-11-27
3248754674,107.62,91.48,43.05,0.1305,0.0786,2025-03-15
1870826377,1827.21,1553.13,730.88,0.1774,0.1407,2025-05-02
9270930789,462.19,392.86,184.88,0.1954,0.069,2025-07-02
6781722060,1157.94,984.25,463.18,0.1943,0.0889,2025-07-11
3727089574,947.26,805.17,378.9,0.2165,0.1279,2025-06-25
7048582974,56.26,47.82,22.5,0.1189,0.0739,2025-04-06
6438865287,1066.03,906.13,426.41,0.127,0.1357,2024-09-26
1506370170,769.33,653.93,307.73,0.2265,0.0656,2025-04-27
9181527157,479.62,407.68,191.85,0.1623,0.1275,2025-04-06
8802696184,1734.28,1474.14,693.71,0.1989,0.071,2025-02-13
5792721360,1049.16,891.79,419.66,0.1119,0.145,2025-01-16
4442879557,1848.82,1571.5,739.53,0.1033,0.114,2025-09-18
6370692853,1005.75,854.89,402.3,0.1824,0.0928,2025-07-21
6283162324,635.8,540.43,254.32,0.1567,0.074,2025-05-05
2043122325,2177.01,1850.46,870.8,0.2067,0.1452,2024-11-11
4484648129,2378.02,2021.32,951.21,0.196,0.08,2025-01-26
1879820970,279.11,237.24,111.64,0.1178,0.0959,2025-02-15
3917281764,92.14,78.32,36.86,0.116,0.1429,2025-07-07
6667018730,588.18,499.95,235.27,0.1766,0.1069,2024-12-30
7311720998,1718.0,1460.3,687.2,0.1749,0.0559,2024-10-03
3784365494,167.06,142.0,66.82,0.1684,0.0646,2024-10-24
8080028784,1360.9,1156.77,544.36,0.1653,0.1256,2024-12-15
5837440140,667.15,567.08,266.86,0.1245,0.1118,2025-09-05
2396615171,2026.66,1722.66,810.66,0.1725,0.1262,2025-06-19
8535820633,2494.18,2120.05,997.67,0.1243,0.0879,2024-12-17
1487296278,366.57,311.58,146.63,0.2283,0.0952,2025-08-11
3523641265,702.1,596.78,280.84,0.1607,0.0659,2025-04-05
1610182976,1230.74,1046.13,492.3,0.1535,0.1092,2025-02-25
4450631022,1864.34,1584.69,745.74,0.1286,0.1326,2025-02-07
2324144048,1495.33,1271.03,598.13,0.1376,0.098,2025-01-31
7320324181,296.89,252.36,118.76,0.1091,0.1348,2025-01-06
8364179241,2144.89,1823.16,857.96,0.2235,0.1003,2025-04-29
3614925677,818.06,695.35,327.22,0.2173,0.0592,2024-09-27
3911567086,2315.91,1968.52,926.36,0.1618,0.108,2024-09-18
6370049097,119.3,101.41,47.72,0.1262,0.1012,2025-02-11
8146115746,1397.61,1187.97,559.04,0.1449,0.0982,2024-12-26
2765170876,234.24,199.1,93.7,0.1582,0.1402,2024-10-17
5341137281,745.48,633.66,298.19,0.2029,0.1183,2025-05-09
6085089099,488.95,415.61,195.58,0.2107,0.0697,2025-06-07
1542085732,2472.59,2101.7,989.04,0.1843,0.1443,2025-07-10
4693213988,1411.0,1199.35,564.4,0.1577,0.0695,2024-12-01
6739962941,177.55,150.92,71.02,0.1796,0.1229,2025-06-28
2713082655,1498.38,1273.62,599.35,0.2059,0.0748,2025-01-19
3594613466,1481.35,1259.15,592.54,0.2173,0.1248,2025-07-06
8478721016,2093.72,1779.66,837.49,0.1469,0.1388,2025-03-04
1688360466,2298.62,1953.83,919.45,0.1014,0.0814,2024-09-29
4227254979,783.56,666.03,313.42,0.1474,0.0726,2025-02-19
2438292181,529.05,449.69,211.62,0.2073,0.1311,2025-09-07
4025784337,566.67,481.67,226.67,0.1745,0.1141,2025-03-01
4070161572,2125.02,1806.27,850.01,0.1261,0.1497,2025-08-02
3285367419,617.58,524.94,247.03,0.2221,0.0986,2025-06-01
9011274787,573.52,487.49,229.41,0.2006,0.1469,2025-09-16
3813488214,1616.88,1374.35,646.75,0.1268,0.0607,2025-03-13
1630663194,511.45,434.73,204.58,0.1394,0.0767,2025-03-24
3958373878,2034.15,1729.03,813.66,0.1027,0.1274,2024-10-23
9323750277,1804.81,1534.09,721.92,0.1175,0.0856,2025-01-18
5973612161,1549.57,1317.13,619.83,0.1181,0.1276,2024-10-03
3311667612,2176.42,1849.96,870.57,0.1195,0.0591,2024-10-08
4307011618,391.12,332.45,156.45,0.2048,0.115,2025-07-28
7794313935,1729.52,1470.09,691.81,0.1459,0.0688,2025-01-01
7125488463,1603.41,1362.9,641.36,0.2209,0.1066,2025-04-10
7824070835,226.82,192.8,90.73,0.1693,0.0515,2025-02-12
5664562060,64.93,55.19,25.97,0.2057,0.1031,2024-12-30
5792353078,1691.13,1437.46,676.45,0.1027,0.0679,2025-04-10
6353225915,1505.91,1280.02,602.36,0.2295,0.1068,2024-09-29
7392615078,1467.93,1247.74,587.17,0.2145,0.0669,2025-02-27
5411497780,2007.86,1706.68,803.14,0.2036,0.105,2025-06-27
5573358551,272.78,231.86,109.11,0.1537,0.1185,2025-01-19
3059446149,1906.15,1620.23,762.46,0.1757,0.1496,2024-10-27
1833670375,2194.13,1865.01,877.65,0.1558,0.1217,2025-05-15
3466927456,597.03,507.48,238.81,0.2112,0.0959,2025-04-30
8247638228,744.99,633.24,298.0,0.2167,0.1479,2025-03-30
5689075421,1680.26,1428.22,672.1,0.1353,0.0535,2025-05-25
2950288028,1141.2,970.02,456.48,0.1168,0.0642,2024-11-12
3466770330,1186.52,1008.54,474.61,0.1347,0.1291,2025-03-16
2141537414,352.13,299.31,140.85,0.1624,0.0684,2025-09-07
1900232485,838.84,713.01,335.54,0.1094,0.1429,2025-07-03
8835588310,146.09,124.18,58.44,0.1054,0.0806,2025-08-03
6141629940,1961.37,1667.16,784.55,0.1566,0.1118,2025-05-30
6205510338,1411.65,1199.9,564.66,0.142,0.1113,2025-06-21
1775067488,1675.16,1423.89,670.06,0.1706,0.0968,2025-04-28
8604074949,309.44,263.02,123.78,0.1283,0.0814,2025-09-05
4471173050,461.54,392.31,184.62,0.1443,0.0552,2025-06-26
5957364565,37.51,31.88,15.0,0.1234,0.1017,2025-04-12
3257379493,2208.36,1877.11,883.34,0.1407,0.1326,2025-05-22
2122419434,1676.7,1425.19,670.68,0.1505,0.0525,2025-01-10
2033436777,148.86,126.53,59.54,0.1992,0.1451,2025-01-23
8560839422,1293.75,1099.69,517.5,0.1529,0.1388,2025-09-12
5984999316,319.91,271.92,127.96,0.1575,0.1171,2025-02-18
4998065151,2479.56,2107.63,991.82,0.2139,0.1441,2025-05-17
5950648142,1763.79,1499.22,705.52,0.1015,0.1186,2025-05-01
4370453031,1864.32,1584.67,745.73,0.1708,0.129,2025-08-29
2898753036,248.49,211.22,99.4,0.109,0.0906,2025-01-06
5756756857,1318.19,1120.46,527.28,0.2291,0.1117,2024-10-23
9753396313,1334.22,1134.09,533.69,0.1237,0.0987,2024-10-07
5252460011,1223.53,1040.0,489.41,0.1617,0.1117,2024-10-25
5535329335,1044.35,887.7,417.74,0.122,0.0512,2025-09-03
4583250193,930.09,790.58,372.04,0.1951,0.1487,2024-11-23
2339171670,798.46,678.69,319.38,0.1106,0.1247,2025-03-06
4259283147,1605.37,1364.56,642.15,0.105,0.0697,2025-07-12
1870262884,2011.81,1710.04,804.72,0.1597,0.0844,2025-06-24
2807978912,1960.53,1666.45,784.21,0.1502,0.1488,2025-01-24
5288252087,1640.47,1394.4,656.19,0.2013,0.0976,2025-04-09
4392128619,193.54,164.51,77.42,0.108,0.1455,2025-03-31
2307346476,594.88,505.65,237.95,0.1187,0.0798,2025-04-11
4276549473,810.54,688.96,324.22,0.1038,0.121,2024-11-27
6717077837,2070.16,1759.64,828.06,0.2279,0.135,2024-10-24
8788286792,1563.31,1328.81,625.32,0.1303,0.0615,2025-03-10
6304472674,697.23,592.65,278.89,0.1006,0.0596,2025-07-28
2511418257,1467.7,1247.55,587.08,0.1508,0.1069,2025-08-24
3322465690,1176.88,1000.35,470.75,0.1482,0.1453,2024-10-18
7234596221,454.85,386.62,181.94,0.1999,0.1084,2024-09-28
9726889165,1529.32,1299.92,611.73,0.2147,0.0914,2025-06-28
4923749266,1461.9,1242.62,584.76,0.179,0.126,2025-06-01
1883219957,1518.91,1291.07,607.56,0.2274,0.0948,2025-08-17
2010442141,2370.85,2015.22,948.34,0.2207,0.1157,2025-05-30
6390645372,688.63,585.34,275.45,0.1262,0.1071,2024-09-20
5239852928,947.35,805.25,378.94,0.138,0.0634,2025-02-10
2920542573,1448.14,1230.92,579.26,0.2178,0.1161,2025-04-24
7068475399,1167.73,992.57,467.09,0.1486,0.1002,2024-12-28
6535563635,612.75,520.84,245.1,0.1098,0.1246,2025-02-27
8436994288,996.07,846.66,398.43,0.1973,0.1102,2025-08-15
1297797443,874.51,743.33,349.8,0.1899,0.082,2025-02-16
9469416188,2151.74,1828.98,860.7,0.2127,0.1035,2025-08-07
8371773980,1905.84,1619.96,762.34,0.212,0.1397,2025-09-07
7473042078,538.46,457.69,215.38,0.1008,0.0676,2025-04-29
9384723053,920.76,782.65,368.3,0.1194,0.1397,2024-12-10
7322568940,662.11,562.79,264.84,0.1488,0.1088,2024-12-14
8960159223,1015.52,863.19,406.21,0.225,0.122,2024-11-09
3607861340,1858.02,1579.32,743.21,0.1451,0.1212,2025-05-26
4595027667,37.54,31.91,15.02,0.1476,0.0759,2024-12-31
7092490816,770.28,654.74,308.11,0.2034,0.1349,2025-09-03
7544368040,1461.65,1242.4,584.66,0.16,0.1399,2025-07-18
5394824714,688.25,585.01,275.3,0.1667,0.129,2025-02-22
7694042683,591.52,502.79,236.61,0.1698,0.1311,2025-05-07
5345386542,307.8,261.63,123.12,0.2023,0.1138,2025-03-06
2153211485,985.02,837.27,394.01,0.1333,0.0639,2025-02-27
8963582390,1450.82,1233.2,580.33,0.1234,0.0803,2025-02-09
3439044968,231.39,196.68,92.56,0.1905,0.1243,2025-04-27
7769168673,888.96,755.62,355.58,0.1608,0.1177,2025-04-30
8084528769,993.38,844.37,397.35,0.107,0.0891,2025-01-24
8706026475,2453.32,2085.32,981.33,0.1631,0.0869,2025-09-09
