ndc,therapeutic_class,subclass,mechanism,contraindications
7875977643,Cardiovascular,Cardiovascular Subclass 3,Calcium Channel Blocker,Standard cardiovascular contraindications apply
1666834286,Cardiovascular,Cardiovascular Subclass 5,ARB,Standard cardiovascular contraindications apply
7598824534,Cardiovascular,Cardiovascular Subclass 1,ARB,Standard cardiovascular contraindications apply
7129916878,Cardiovascular,Cardiovascular Subclass 1,ACE Inhibitor,Standard cardiovascular contraindications apply
8776568145,Cardiovascular,Cardiovascular Subclass 2,Beta Blocker,Standard cardiovascular contraindications apply
1632282819,Cardiovascular,Cardiovascular Subclass 3,ACE Inhibitor,Standard cardiovascular contraindications apply
3726365968,Cardiovascular,Cardiovascular Subclass 4,Diuretic,Standard cardiovascular contraindications apply
8619373444,Cardiovascular,Cardiovascular Subclass 5,Diuretic,Standard cardiovascular contraindications apply
3109715590,Cardiovascular,Cardiovascular Subclass 3,Diuretic,Standard cardiovascular contraindications apply
8911547226,Cardiovascular,Cardiovascular Subclass 1,Beta Blocker,Standard cardiovascular contraindications apply
3101716229,Cardiovascular,Cardiovascular Subclass 2,Beta Blocker,Standard cardiovascular contraindications apply
4322059257,Cardiovascular,Cardiovascular Subclass 3,ACE Inhibitor,Standard cardiovascular contraindications apply
2533334522,Cardiovascular,Cardiovascular Subclass 2,Calcium Channel Blocker,Standard cardiovascular contraindications apply
3963129696,Cardiovascular,Cardiovascular Subclass 5,Beta Blocker,Standard cardiovascular contraindications apply
5104262388,Cardiovascular,Cardiovascular Subclass 1,ARB,Standard cardiovascular contraindications apply
3424035377,Cardiovascular,Cardiovascular Subclass 3,Diuretic,Standard cardiovascular contraindications apply
9401655447,Cardiovascular,Cardiovascular Subclass 5,ARB,Standard cardiovascular contraindications apply
4672588575,Cardiovascular,Cardiovascular Subclass 5,ARB,Standard cardiovascular contraindications apply
5709168853,Cardiovascular,Cardiovascular Subclass 2,Beta Blocker,Standard cardiovascular contraindications apply
2464588792,Cardiovascular,Cardiovascular Subclass 5,Diuretic,Standard cardiovascular contraindications apply
7595063177,Cardiovascular,Cardiovascular Subclass 3,Diuretic,Standard cardiovascular contraindications apply
4445114513,Cardiovascular,Cardiovascular Subclass 5,Beta Blocker,Standard cardiovascular contraindications apply
8817564039,Cardiovascular,Cardiovascular Subclass 3,ACE Inhibitor,Standard cardiovascular contraindications apply
7133253522,Cardiovascular,Cardiovascular Subclass 2,Beta Blocker,Standard cardiovascular contraindications apply
8670846667,Cardiovascular,Cardiovascular Subclass 4,Beta Blocker,Standard cardiovascular contraindications apply
3964354575,Cardiovascular,Cardiovascular Subclass 3,Beta Blocker,Standard cardiovascular contraindications apply
8611138360,Cardiovascular,Cardiovascular Subclass 3,Diuretic,Standard cardiovascular contraindications apply
3740748982,Cardiovascular,Cardiovascular Subclass 5,Calcium Channel Blocker,Standard cardiovascular contraindications apply
2736355589,Cardiovascular,Cardiovascular Subclass 2,Calcium Channel Blocker,Standard cardiovascular contraindications apply
8577764799,Cardiovascular,Cardiovascular Subclass 1,ACE Inhibitor,Standard cardiovascular contraindications apply
7222616620,Cardiovascular,Cardiovascular Subclass 5,Beta Blocker,Standard cardiovascular contraindications apply
9941979726,Cardiovascular,Cardiovascular Subclass 1,Diuretic,Standard cardiovascular contraindications apply
7861610725,Cardiovascular,Cardiovascular Subclass 2,Diuretic,Standard cardiovascular contraindications apply
8608873463,Cardiovascular,Cardiovascular Subclass 3,Diuretic,Standard cardiovascular contraindications apply
9309844422,Cardiovascular,Cardiovascular Subclass 4,Beta Blocker,Standard cardiovascular contraindications apply
2719516771,Cardiovascular,Cardiovascular Subclass 4,Diuretic,Standard cardiovascular contraindications apply
1100812019,Cardiovascular,Cardiovascular Subclass 2,ARB,Standard cardiovascular contraindications apply
6639372393,Cardiovascular,Cardiovascular Subclass 5,Beta Blocker,Standard cardiovascular contraindications apply
1631630526,Cardiovascular,Cardiovascular Subclass 2,Diuretic,Standard cardiovascular contraindications apply
5392927338,Cardiovascular,Cardiovascular Subclass 1,ACE Inhibitor,Standard cardiovascular contraindications apply
7964998179,Cardiovascular,Cardiovascular Subclass 2,Diuretic,Standard cardiovascular contraindications apply
1798586674,Cardiovascular,Cardiovascular Subclass 3,Diuretic,Standard cardiovascular contraindications apply
3109059718,Cardiovascular,Cardiovascular Subclass 5,ARB,Standard cardiovascular contraindications apply
8023358621,Cardiovascular,Cardiovascular Subclass 5,ACE Inhibitor,Standard cardiovascular contraindications apply
1095316551,Cardiovascular,Cardiovascular Subclass 1,ARB,Standard cardiovascular contraindications apply
6710460637,Cardiovascular,Cardiovascular Subclass 3,Diuretic,Standard cardiovascular contraindications apply
7829447321,Cardiovascular,Cardiovascular Subclass 2,Beta Blocker,Standard cardiovascular contraindications apply
1590788883,Cardiovascular,Cardiovascular Subclass 4,Beta Blocker,Standard cardiovascular contraindications apply
3509428752,Cardiovascular,Cardiovascular Subclass 2,Calcium Channel Blocker,Standard cardiovascular contraindications apply
6328160823,Cardiovascular,Cardiovascular Subclass 4,Calcium Channel Blocker,Standard cardiovascular contraindications apply
6088028768,Cardiovascular,Cardiovascular Subclass 2,Calcium Channel Blocker,Standard cardiovascular contraindications apply
6868060258,Cardiovascular,Cardiovascular Subclass 3,ARB,Standard cardiovascular contraindications apply
4396236858,Cardiovascular,Cardiovascular Subclass 1,Beta Blocker,Standard cardiovascular contraindications apply
5236497168,Cardiovascular,Cardiovascular Subclass 2,ACE Inhibitor,Standard cardiovascular contraindications apply
6045851674,Cardiovascular,Cardiovascular Subclass 1,Diuretic,Standard cardiovascular contraindications apply
1639463395,Cardiovascular,Cardiovascular Subclass 1,ACE Inhibitor,Standard cardiovascular contraindications apply
2038411591,Cardiovascular,Cardiovascular Subclass 5,Calcium Channel Blocker,Standard cardiovascular contraindications apply
9485996053,Cardiovascular,Cardiovascular Subclass 1,ACE Inhibitor,Standard cardiovascular contraindications apply
6331534298,Cardiovascular,Cardiovascular Subclass 1,Beta Blocker,Standard cardiovascular contraindications apply
