ndc,fmt_drug,mbid,status,start_date,end_date,load_date,effective_date,expiration_date,created_by,updated_by,review_status,notes
7993170504,METFORMIN,DIAB_METFORM_001,PDL,2025-01-22,,2025-08-22,2024-09-02,,system_admin,system_admin,Approved,MASTER baseline formulary entry
7993170504,METFORMIN,AK_DIAB_001,PDL,2025-05-15,,2025-09-09,2025-04-08,,ak_pharmacist,ak_reviewer,Approved,AK state policy - pdl per remote access guidelines
7993170504,METFORMIN,MO_DIAB_001,Restricted,2025-02-24,,2025-09-18,2025-01-19,,mo_analyst,mo_director,Pending,MO Medicaid formulary - restricted status
9243479420,AZITHROMYCIN,MASTER_GEN_986,Review,2024-09-06,,2025-09-15,2025-02-02,,system_admin,system_admin,Approved,MASTER baseline formulary entry
9243479420,AZITHROMYCIN,MO_GEN_335,Approved,2025-03-04,,2025-09-06,2025-05-21,,mo_pharmacist,mo_pharmacist,Approved,MO Medicaid formulary - approved status
1734871024,AMOXICILLIN,MASTER_GEN_226,PDL,2025-01-08,,2025-08-22,2024-11-10,,system_admin,system_admin,Approved,MASTER baseline formulary entry
1734871024,AMOXICILLIN,AK_GEN_277,Approved,2025-05-11,,2025-09-18,2025-04-16,,ak_manager,ak_manager,Approved,AK state policy - approved per remote access guidelines
1734871024,AMOXICILLIN,MO_GEN_990,PDL,2025-02-27,,2025-09-16,2025-06-15,,mo_pharmacist,mo_pharmacist,Approved,MO Medicaid formulary - pdl status
4835658849,LOSARTAN,CARDIO_ARB_001,PDL,2025-01-22,,2025-09-06,2024-10-30,,system_admin,system_admin,Approved,MASTER baseline formulary entry
4835658849,LOSARTAN,MO_CARDIO_001,Review,2025-03-22,,2025-09-16,2025-06-17,,mo_director,mo_analyst,Pending,MO Medicaid formulary - review status
3667634502,GABAPENTIN,NEURO_ANTI_001,Approved,2024-09-27,,2025-09-05,2024-11-01,,system_admin,system_admin,Approved,MASTER baseline formulary entry
3667634502,GABAPENTIN,AK_PAIN_001,PDL,2025-01-25,,2025-09-18,2025-02-22,,ak_pharmacist,ak_manager,Approved,AK state policy - pdl per remote access guidelines
3667634502,GABAPENTIN,NEURO_ANTI_001,Approved,2025-05-12,,2025-09-17,2025-04-04,,mo_pharmacist,mo_director,Approved,MO Medicaid formulary - approved status
3190245007,FUROSEMIDE,MASTER_GEN_166,Review,2024-11-07,,2025-09-19,2024-08-27,,system_admin,system_admin,Approved,MASTER baseline formulary entry
3190245007,FUROSEMIDE,MO_GEN_836,PDL,2025-05-03,,2025-09-14,2025-06-06,,mo_pharmacist,mo_director,Approved,MO Medicaid formulary - pdl status
6010664427,LISINOPRIL,CARDIO_ACE_001,PDL,2025-03-02,,2025-09-04,2024-12-18,,system_admin,system_admin,Approved,MASTER baseline formulary entry
6010664427,LISINOPRIL,CARDIO_ACE_001,Review,2025-06-06,,2025-09-06,2025-01-20,,mo_analyst,mo_analyst,Pending,MO Medicaid formulary - review status
2831986176,LOSARTAN,CARDIO_ARB_001,Approved,2025-01-02,,2025-09-15,2024-11-16,,system_admin,system_admin,Approved,MASTER baseline formulary entry
2831986176,LOSARTAN,AK_CARDIO_001,Approved,2025-05-19,,2025-09-16,2025-02-25,,ak_manager,ak_manager,Approved,AK state policy - approved per remote access guidelines
2831986176,LOSARTAN,MO_CARDIO_001,PDL,2025-03-11,,2025-09-19,2025-03-12,,mo_pharmacist,mo_director,Approved,MO Medicaid formulary - pdl status
8723190426,OMEPRAZOLE,GI_PPI_001,PDL,2024-12-31,,2025-09-07,2025-02-16,,system_admin,system_admin,Approved,MASTER baseline formulary entry
8723190426,OMEPRAZOLE,AK_GI_001,Restricted,2024-12-22,2025-08-17,2025-09-13,2025-04-21,2025-08-17,ak_pharmacist,ak_manager,Pending,AK state policy - restricted per remote access guidelines
1699169388,ATORVASTATIN,CARDIO_STATIN_002,Approved,2024-08-23,,2025-09-11,2024-10-09,,system_admin,system_admin,Approved,MASTER baseline formulary entry
1699169388,ATORVASTATIN,AK_CARDIO_003,PDL,2024-12-25,,2025-09-09,2025-05-20,,ak_pharmacist,ak_pharmacist,Approved,AK state policy - pdl per remote access guidelines
1699169388,ATORVASTATIN,MO_CARDIO_003,Approved,2025-04-05,,2025-09-10,2025-06-06,,mo_analyst,mo_pharmacist,Approved,MO Medicaid formulary - approved status
6702263004,LOSARTAN,CARDIO_ARB_001,PDL,2024-12-20,,2025-08-28,2024-10-17,,system_admin,system_admin,Approved,MASTER baseline formulary entry
6702263004,LOSARTAN,AK_CARDIO_001,Review,2025-05-06,,2025-08-31,2024-12-04,,ak_reviewer,ak_manager,In Review,AK state policy - review per remote access guidelines
6702263004,LOSARTAN,MO_CARDIO_001,Restricted,2025-04-15,,2025-09-11,2025-01-18,,mo_director,mo_analyst,Pending,MO Medicaid formulary - restricted status
3705784427,SERTRALINE,PSYCH_SSRI_001,Approved,2024-12-28,,2025-08-21,2025-02-10,,system_admin,system_admin,Approved,MASTER baseline formulary entry
8572900652,LOSARTAN,CARDIO_ARB_001,Approved,2024-09-25,,2025-08-25,2024-09-30,,system_admin,system_admin,Approved,MASTER baseline formulary entry
8572900652,LOSARTAN,AK_CARDIO_001,Restricted,2025-02-04,2025-07-28,2025-09-14,2025-04-01,2025-07-28,ak_reviewer,ak_manager,In Review,AK state policy - restricted per remote access guidelines
5070124937,AZITHROMYCIN,MASTER_GEN_302,PDL,2024-10-07,,2025-08-25,2024-11-03,,system_admin,system_admin,Approved,MASTER baseline formulary entry
5070124937,AZITHROMYCIN,MO_GEN_575,PDL,2025-01-16,,2025-09-14,2025-06-29,,mo_director,mo_pharmacist,Approved,MO Medicaid formulary - pdl status
4952379323,AMLODIPINE,CARDIO_CCB_001,Approved,2024-09-25,,2025-09-07,2025-02-16,,system_admin,system_admin,Approved,MASTER baseline formulary entry
4952379323,AMLODIPINE,AK_CARDIO_002,Restricted,2025-03-28,2025-08-06,2025-09-02,2025-05-02,2025-08-06,ak_pharmacist,ak_pharmacist,Pending,AK state policy - restricted per remote access guidelines
4952379323,AMLODIPINE,MO_CARDIO_001,Approved,2025-03-07,,2025-09-07,2025-05-14,,mo_analyst,mo_analyst,Approved,MO Medicaid formulary - approved status
3262717209,AMOXICILLIN,MASTER_GEN_795,Approved,2024-12-30,,2025-08-21,2024-12-30,,system_admin,system_admin,Approved,MASTER baseline formulary entry
3262717209,AMOXICILLIN,AK_GEN_368,Approved,2024-12-16,,2025-09-12,2024-12-01,,ak_reviewer,ak_pharmacist,Approved,AK state policy - approved per remote access guidelines
3262717209,AMOXICILLIN,MO_GEN_316,PDL,2025-06-09,,2025-09-13,2025-01-19,,mo_director,mo_analyst,Approved,MO Medicaid formulary - pdl status
9302724976,ATORVASTATIN,CARDIO_STATIN_002,Approved,2024-10-19,,2025-08-24,2024-12-22,,system_admin,system_admin,Approved,MASTER baseline formulary entry
9302724976,ATORVASTATIN,AK_CARDIO_003,Restricted,2025-01-31,2025-08-19,2025-09-13,2025-03-06,2025-08-19,ak_pharmacist,ak_reviewer,Pending,AK state policy - restricted per remote access guidelines
9302724976,ATORVASTATIN,MO_CARDIO_003,PDL,2025-03-31,,2025-09-13,2025-05-27,,mo_pharmacist,mo_analyst,Approved,MO Medicaid formulary - pdl status
7502562337,METFORMIN,DIAB_METFORM_001,Approved,2025-01-15,,2025-08-25,2025-02-28,,system_admin,system_admin,Approved,MASTER baseline formulary entry
7502562337,METFORMIN,AK_DIAB_001,PDL,2025-04-15,,2025-09-05,2025-04-15,,ak_reviewer,ak_pharmacist,Approved,AK state policy - pdl per remote access guidelines
7502562337,METFORMIN,MO_DIAB_001,PDL,2025-06-20,,2025-09-15,2025-02-02,,mo_analyst,mo_pharmacist,Approved,MO Medicaid formulary - pdl status
5190778397,METFORMIN,DIAB_METFORM_001,Approved,2024-11-13,,2025-08-22,2025-01-15,,system_admin,system_admin,Approved,MASTER baseline formulary entry
5190778397,METFORMIN,AK_DIAB_001,PDL,2024-12-27,,2025-09-05,2025-02-17,,ak_pharmacist,ak_reviewer,Approved,AK state policy - pdl per remote access guidelines
5190778397,METFORMIN,MO_DIAB_001,Restricted,2025-06-08,,2025-09-17,2025-02-10,,mo_director,mo_director,Pending,MO Medicaid formulary - restricted status
6691316698,AMOXICILLIN,MASTER_GEN_380,PDL,2024-12-05,,2025-08-21,2025-01-09,,system_admin,system_admin,Approved,MASTER baseline formulary entry
7533824680,AZITHROMYCIN,MASTER_GEN_993,Approved,2025-02-16,,2025-08-20,2024-10-01,,system_admin,system_admin,Approved,MASTER baseline formulary entry
7533824680,AZITHROMYCIN,AK_GEN_225,Review,2024-12-26,,2025-09-14,2024-12-30,,ak_pharmacist,ak_manager,Pending,AK state policy - review per remote access guidelines
7533824680,AZITHROMYCIN,MO_GEN_862,Review,2025-01-27,,2025-09-12,2025-04-02,,mo_analyst,mo_analyst,Pending,MO Medicaid formulary - review status
5890751133,TRAMADOL,MASTER_GEN_814,Approved,2024-10-04,,2025-09-02,2024-09-06,,system_admin,system_admin,Approved,MASTER baseline formulary entry
5890751133,TRAMADOL,MO_GEN_786,PDL,2025-03-08,,2025-09-09,2025-04-12,,mo_analyst,mo_pharmacist,Approved,MO Medicaid formulary - pdl status
9132527704,SIMVASTATIN,CARDIO_STATIN_001,PDL,2024-09-15,,2025-08-24,2024-10-17,,system_admin,system_admin,Approved,MASTER baseline formulary entry
9132527704,SIMVASTATIN,AK_CARDIO_003,Review,2025-06-09,,2025-09-11,2025-04-21,,ak_pharmacist,ak_pharmacist,In Review,AK state policy - review per remote access guidelines
9132527704,SIMVASTATIN,MO_CARDIO_003,PDL,2025-02-02,,2025-09-15,2025-04-13,,mo_pharmacist,mo_director,Approved,MO Medicaid formulary - pdl status
2810942167,TRAMADOL,MASTER_GEN_492,Approved,2025-01-02,,2025-08-20,2024-12-28,,system_admin,system_admin,Approved,MASTER baseline formulary entry
2810942167,TRAMADOL,AK_GEN_201,Review,2024-12-08,,2025-09-02,2025-04-10,,ak_manager,ak_pharmacist,Pending,AK state policy - review per remote access guidelines
8517210722,LISINOPRIL,CARDIO_ACE_001,PDL,2024-11-23,,2025-09-09,2025-02-22,,system_admin,system_admin,Approved,MASTER baseline formulary entry
8517210722,LISINOPRIL,AK_CARDIO_001,PDL,2025-03-05,,2025-09-01,2025-02-25,,ak_pharmacist,ak_manager,Approved,AK state policy - pdl per remote access guidelines
8517210722,LISINOPRIL,CARDIO_ACE_001,Approved,2025-06-06,,2025-09-14,2025-04-15,,mo_analyst,mo_director,Approved,MO Medicaid formulary - approved status
8068590019,TRAMADOL,MASTER_GEN_338,PDL,2024-09-11,,2025-09-02,2024-11-17,,system_admin,system_admin,Approved,MASTER baseline formulary entry
8068590019,TRAMADOL,AK_GEN_927,PDL,2025-04-07,,2025-09-15,2025-01-01,,ak_reviewer,ak_manager,Approved,AK state policy - pdl per remote access guidelines
8068590019,TRAMADOL,MO_GEN_321,Approved,2025-05-11,,2025-09-15,2025-06-25,,mo_pharmacist,mo_pharmacist,Approved,MO Medicaid formulary - approved status
2901410339,OMEPRAZOLE,GI_PPI_001,Review,2024-10-31,,2025-09-16,2024-09-02,,system_admin,system_admin,Approved,MASTER baseline formulary entry
2901410339,OMEPRAZOLE,AK_GI_001,Restricted,2024-12-19,2025-08-18,2025-09-03,2024-11-30,2025-08-18,ak_reviewer,ak_manager,Pending,AK state policy - restricted per remote access guidelines
2901410339,OMEPRAZOLE,GI_PPI_001,Approved,2025-05-19,,2025-09-14,2025-02-28,,mo_pharmacist,mo_director,Approved,MO Medicaid formulary - approved status
4922206011,AMOXICILLIN,MASTER_GEN_769,Approved,2024-09-02,,2025-09-03,2024-09-12,,system_admin,system_admin,Approved,MASTER baseline formulary entry
4922206011,AMOXICILLIN,AK_GEN_804,Review,2025-03-14,,2025-09-02,2025-05-15,,ak_manager,ak_reviewer,In Review,AK state policy - review per remote access guidelines
4922206011,AMOXICILLIN,MO_GEN_734,PDL,2025-04-06,,2025-09-09,2025-03-02,,mo_director,mo_analyst,Approved,MO Medicaid formulary - pdl status
4718124639,OMEPRAZOLE,GI_PPI_001,PDL,2024-12-05,,2025-09-05,2025-01-04,,system_admin,system_admin,Approved,MASTER baseline formulary entry
4718124639,OMEPRAZOLE,AK_GI_001,PDL,2025-02-08,,2025-09-08,2024-11-30,,ak_manager,ak_pharmacist,Approved,AK state policy - pdl per remote access guidelines
5178797828,TRAMADOL,MASTER_GEN_146,PDL,2024-08-26,,2025-08-26,2024-11-14,,system_admin,system_admin,Approved,MASTER baseline formulary entry
5178797828,TRAMADOL,AK_GEN_902,Restricted,2025-04-24,2025-08-20,2025-09-07,2025-03-04,2025-08-20,ak_pharmacist,ak_pharmacist,Pending,AK state policy - restricted per remote access guidelines
2320611961,ALBUTEROL,RESP_BRONCH_001,PDL,2024-08-20,,2025-09-19,2024-10-28,,system_admin,system_admin,Approved,MASTER baseline formulary entry
2320611961,ALBUTEROL,RESP_BRONCH_001,PDL,2025-01-19,,2025-09-17,2025-05-26,,mo_pharmacist,mo_pharmacist,Approved,MO Medicaid formulary - pdl status
1583120751,METFORMIN,DIAB_METFORM_001,Approved,2025-02-20,,2025-09-08,2024-11-09,,system_admin,system_admin,Approved,MASTER baseline formulary entry
1583120751,METFORMIN,AK_DIAB_001,Review,2025-01-31,,2025-09-02,2025-05-20,,ak_pharmacist,ak_pharmacist,In Review,AK state policy - review per remote access guidelines
1583120751,METFORMIN,MO_DIAB_001,Approved,2025-06-23,,2025-09-06,2025-05-17,,mo_analyst,mo_director,Approved,MO Medicaid formulary - approved status
6946528366,LOSARTAN,CARDIO_ARB_001,PDL,2025-02-21,,2025-08-24,2024-08-28,,system_admin,system_admin,Approved,MASTER baseline formulary entry
6946528366,LOSARTAN,AK_CARDIO_001,Approved,2025-03-07,,2025-09-05,2025-03-09,,ak_manager,ak_manager,Approved,AK state policy - approved per remote access guidelines
6946528366,LOSARTAN,MO_CARDIO_001,Approved,2025-03-18,,2025-09-08,2025-04-23,,mo_analyst,mo_director,Approved,MO Medicaid formulary - approved status
3594524461,HYDROCHLOROTHIAZIDE,MASTER_GEN_353,Approved,2024-11-10,,2025-09-11,2024-12-03,,system_admin,system_admin,Approved,MASTER baseline formulary entry
3594524461,HYDROCHLOROTHIAZIDE,AK_GEN_970,Approved,2024-11-25,,2025-09-14,2025-05-26,,ak_pharmacist,ak_pharmacist,Approved,AK state policy - approved per remote access guidelines
3594524461,HYDROCHLOROTHIAZIDE,MO_GEN_786,Approved,2025-06-20,,2025-09-16,2025-06-19,,mo_pharmacist,mo_director,Approved,MO Medicaid formulary - approved status
7234811870,TRAMADOL,MASTER_GEN_290,Approved,2025-03-01,,2025-09-17,2024-12-06,,system_admin,system_admin,Approved,MASTER baseline formulary entry
7234811870,TRAMADOL,AK_GEN_639,Review,2025-06-10,,2025-09-16,2025-03-15,,ak_reviewer,ak_manager,In Review,AK state policy - review per remote access guidelines
7234811870,TRAMADOL,MO_GEN_432,Approved,2025-04-28,,2025-09-10,2025-05-29,,mo_director,mo_pharmacist,Approved,MO Medicaid formulary - approved status
3693871386,LISINOPRIL,CARDIO_ACE_001,Review,2024-10-14,,2025-08-22,2024-08-20,,system_admin,system_admin,Approved,MASTER baseline formulary entry
3693871386,LISINOPRIL,AK_CARDIO_001,Approved,2024-12-06,,2025-09-06,2024-12-21,,ak_reviewer,ak_pharmacist,Approved,AK state policy - approved per remote access guidelines
3693871386,LISINOPRIL,CARDIO_ACE_001,PDL,2025-03-08,,2025-09-10,2025-01-18,,mo_analyst,mo_pharmacist,Approved,MO Medicaid formulary - pdl status
6786104712,LISINOPRIL,CARDIO_ACE_001,PDL,2025-02-11,,2025-09-08,2024-11-18,,system_admin,system_admin,Approved,MASTER baseline formulary entry
6786104712,LISINOPRIL,CARDIO_ACE_001,PDL,2025-03-23,,2025-09-10,2025-05-16,,mo_director,mo_analyst,Approved,MO Medicaid formulary - pdl status
5513671390,METFORMIN,DIAB_METFORM_001,Approved,2024-09-05,,2025-09-05,2024-12-20,,system_admin,system_admin,Approved,MASTER baseline formulary entry
5513671390,METFORMIN,AK_DIAB_001,PDL,2025-05-23,,2025-09-13,2025-02-20,,ak_reviewer,ak_reviewer,Approved,AK state policy - pdl per remote access guidelines
5513671390,METFORMIN,MO_DIAB_001,Approved,2025-03-22,,2025-09-13,2025-04-05,,mo_director,mo_director,Approved,MO Medicaid formulary - approved status
3478112622,LISINOPRIL,CARDIO_ACE_001,Approved,2025-02-13,,2025-09-09,2024-12-21,,system_admin,system_admin,Approved,MASTER baseline formulary entry
3478112622,LISINOPRIL,AK_CARDIO_001,Approved,2025-01-23,,2025-09-03,2025-04-26,,ak_manager,ak_manager,Approved,AK state policy - approved per remote access guidelines
3478112622,LISINOPRIL,CARDIO_ACE_001,PDL,2025-03-25,,2025-09-11,2025-02-24,,mo_analyst,mo_pharmacist,Approved,MO Medicaid formulary - pdl status
5867639038,METFORMIN,DIAB_METFORM_001,Review,2024-11-21,,2025-09-01,2024-11-19,,system_admin,system_admin,Approved,MASTER baseline formulary entry
5867639038,METFORMIN,AK_DIAB_001,Approved,2024-11-28,,2025-09-08,2025-03-04,,ak_pharmacist,ak_reviewer,Approved,AK state policy - approved per remote access guidelines
5867639038,METFORMIN,MO_DIAB_001,PDL,2025-02-06,,2025-09-19,2025-06-18,,mo_pharmacist,mo_pharmacist,Approved,MO Medicaid formulary - pdl status
4477721364,AMLODIPINE,CARDIO_CCB_001,PDL,2024-09-25,,2025-09-06,2025-02-28,,system_admin,system_admin,Approved,MASTER baseline formulary entry
4477721364,AMLODIPINE,AK_CARDIO_002,Review,2025-02-13,,2025-09-09,2025-05-03,,ak_manager,ak_reviewer,In Review,AK state policy - review per remote access guidelines
4477721364,AMLODIPINE,MO_CARDIO_001,PDL,2025-01-19,,2025-09-13,2025-06-30,,mo_analyst,mo_analyst,Approved,MO Medicaid formulary - pdl status
3783511081,SERTRALINE,PSYCH_SSRI_001,PDL,2024-11-21,,2025-09-12,2024-10-08,,system_admin,system_admin,Approved,MASTER baseline formulary entry
3783511081,SERTRALINE,AK_PSYCH_001,PDL,2025-01-16,,2025-09-15,2024-11-26,,ak_pharmacist,ak_pharmacist,Approved,AK state policy - pdl per remote access guidelines
3783511081,SERTRALINE,MO_PSYCH_001,PDL,2025-04-15,,2025-09-10,2025-03-23,,mo_analyst,mo_analyst,Approved,MO Medicaid formulary - pdl status
9127906958,HYDROCHLOROTHIAZIDE,MASTER_GEN_396,Approved,2025-01-20,,2025-09-03,2024-11-07,,system_admin,system_admin,Approved,MASTER baseline formulary entry
9127906958,HYDROCHLOROTHIAZIDE,MO_GEN_395,Review,2025-03-16,,2025-09-15,2025-05-30,,mo_director,mo_director,Pending,MO Medicaid formulary - review status
3399798355,TRAMADOL,MASTER_GEN_189,Approved,2025-02-08,,2025-08-24,2024-08-23,,system_admin,system_admin,Approved,MASTER baseline formulary entry
3399798355,TRAMADOL,MO_GEN_194,PDL,2025-02-24,,2025-09-06,2025-04-18,,mo_analyst,mo_director,Approved,MO Medicaid formulary - pdl status
8760685580,AMLODIPINE,CARDIO_CCB_001,Approved,2024-09-23,,2025-09-04,2024-11-15,,system_admin,system_admin,Approved,MASTER baseline formulary entry
8760685580,AMLODIPINE,MO_CARDIO_001,PDL,2025-03-09,,2025-09-16,2025-03-11,,mo_director,mo_director,Approved,MO Medicaid formulary - pdl status
4400366371,PREDNISONE,MASTER_GEN_918,Review,2025-02-15,,2025-08-30,2025-02-24,,system_admin,system_admin,Approved,MASTER baseline formulary entry
4400366371,PREDNISONE,MO_GEN_411,PDL,2025-03-05,,2025-09-13,2025-04-23,,mo_analyst,mo_pharmacist,Approved,MO Medicaid formulary - pdl status
7067335765,AMLODIPINE,CARDIO_CCB_001,Approved,2024-10-30,,2025-09-06,2025-01-11,,system_admin,system_admin,Approved,MASTER baseline formulary entry
7067335765,AMLODIPINE,MO_CARDIO_001,PDL,2025-02-21,,2025-09-14,2025-05-30,,mo_director,mo_director,Approved,MO Medicaid formulary - pdl status
3202544133,OMEPRAZOLE,GI_PPI_001,PDL,2025-01-28,,2025-09-05,2025-01-11,,system_admin,system_admin,Approved,MASTER baseline formulary entry
3202544133,OMEPRAZOLE,AK_GI_001,PDL,2025-03-26,,2025-09-09,2025-02-23,,ak_pharmacist,ak_reviewer,Approved,AK state policy - pdl per remote access guidelines
3202544133,OMEPRAZOLE,GI_PPI_001,PDL,2025-06-04,,2025-09-14,2025-06-30,,mo_analyst,mo_director,Approved,MO Medicaid formulary - pdl status
1348598727,SERTRALINE,PSYCH_SSRI_001,Restricted,2024-12-22,,2025-08-23,2024-09-19,,system_admin,system_admin,Approved,MASTER baseline formulary entry
1348598727,SERTRALINE,AK_PSYCH_001,PDL,2025-01-28,,2025-09-03,2025-01-03,,ak_pharmacist,ak_manager,Approved,AK state policy - pdl per remote access guidelines
1348598727,SERTRALINE,MO_PSYCH_001,Review,2025-05-26,,2025-09-13,2025-05-20,,mo_pharmacist,mo_analyst,Pending,MO Medicaid formulary - review status
4347655264,FUROSEMIDE,MASTER_GEN_553,PDL,2024-10-02,,2025-08-24,2024-12-22,,system_admin,system_admin,Approved,MASTER baseline formulary entry
4347655264,FUROSEMIDE,AK_GEN_468,PDL,2025-05-07,,2025-09-07,2024-11-24,,ak_manager,ak_pharmacist,Approved,AK state policy - pdl per remote access guidelines
4347655264,FUROSEMIDE,MO_GEN_718,Review,2025-04-28,,2025-09-17,2025-04-29,,mo_analyst,mo_director,Pending,MO Medicaid formulary - review status
4675317456,SIMVASTATIN,CARDIO_STATIN_001,Approved,2024-12-02,,2025-09-02,2024-10-29,,system_admin,system_admin,Approved,MASTER baseline formulary entry
4675317456,SIMVASTATIN,MO_CARDIO_003,Review,2025-03-15,,2025-09-08,2025-05-11,,mo_analyst,mo_analyst,Pending,MO Medicaid formulary - review status
9496684205,AMOXICILLIN,MASTER_GEN_285,PDL,2024-10-16,,2025-09-17,2024-10-03,,system_admin,system_admin,Approved,MASTER baseline formulary entry
9496684205,AMOXICILLIN,MO_GEN_614,PDL,2025-05-25,,2025-09-05,2025-03-31,,mo_director,mo_director,Approved,MO Medicaid formulary - pdl status
2308999470,OMEPRAZOLE,GI_PPI_001,PDL,2024-10-04,,2025-09-13,2025-02-17,,system_admin,system_admin,Approved,MASTER baseline formulary entry
7068893998,AMOXICILLIN,MASTER_GEN_795,PDL,2025-02-05,,2025-08-25,2024-11-29,,system_admin,system_admin,Approved,MASTER baseline formulary entry
7007934187,GABAPENTIN,NEURO_ANTI_001,Review,2025-02-23,,2025-08-23,2024-12-14,,system_admin,system_admin,Approved,MASTER baseline formulary entry
7007934187,GABAPENTIN,AK_PAIN_001,PDL,2025-04-27,,2025-09-15,2025-04-24,,ak_manager,ak_manager,Approved,AK state policy - pdl per remote access guidelines
7007934187,GABAPENTIN,NEURO_ANTI_001,PDL,2025-02-26,,2025-09-05,2025-06-22,,mo_pharmacist,mo_pharmacist,Approved,MO Medicaid formulary - pdl status
6034750232,TRAMADOL,MASTER_GEN_400,PDL,2024-11-08,,2025-08-25,2025-02-14,,system_admin,system_admin,Approved,MASTER baseline formulary entry
6034750232,TRAMADOL,AK_GEN_860,Review,2025-02-21,,2025-09-14,2024-11-25,,ak_reviewer,ak_reviewer,In Review,AK state policy - review per remote access guidelines
6034750232,TRAMADOL,MO_GEN_314,PDL,2025-01-12,,2025-09-08,2025-04-09,,mo_director,mo_analyst,Approved,MO Medicaid formulary - pdl status
7758619211,AZITHROMYCIN,MASTER_GEN_814,Review,2025-01-03,,2025-08-27,2024-10-30,,system_admin,system_admin,Approved,MASTER baseline formulary entry
7758619211,AZITHROMYCIN,MO_GEN_583,Review,2025-06-02,,2025-09-06,2025-04-24,,mo_director,mo_pharmacist,Pending,MO Medicaid formulary - review status
2292971586,AZITHROMYCIN,MASTER_GEN_833,Approved,2024-09-24,,2025-08-29,2025-02-26,,system_admin,system_admin,Approved,MASTER baseline formulary entry
2292971586,AZITHROMYCIN,AK_GEN_485,PDL,2025-03-15,,2025-09-08,2024-12-04,,ak_pharmacist,ak_manager,Approved,AK state policy - pdl per remote access guidelines
