ndc,regional_code,preference_score,local_mfr,distribution_notes
8080470579,US-MO,10,MO Pharmaceuticals,Distributed in MO region
9483251111,US-MO,10,MO Pharmaceuticals,Distributed in MO region
2296173330,US-MIDWEST,10,MO Pharmaceuticals,Distributed in MO region
1495953658,US-MIDWEST,1,MO Pharmaceuticals,Distributed in MO region
4418142093,US-MO,7,MO Pharmaceuticals,Distributed in MO region
3213648920,US-MIDWEST,5,MO Pharmaceuticals,Distributed in MO region
9111996795,US-MO,10,MO Pharmaceuticals,Distributed in MO region
1697271872,US-MIDWEST,5,MO Pharmaceuticals,Distributed in MO region
4257583095,US-MIDWEST,4,MO Pharmaceuticals,Distributed in MO region
1837134614,US-MIDWEST,2,MO Pharmaceuticals,Distributed in MO region
3072694486,US-MIDWEST,3,MO Pharmaceuticals,Distributed in MO region
3665738378,US-MIDWEST,2,MO Pharmaceuticals,Distributed in MO region
5506731459,US-MIDWEST,7,MO Pharmaceuticals,Distributed in MO region
2677644921,US-MO,7,MO Pharmaceuticals,Distributed in MO region
3742232645,US-MIDWEST,6,MO Pharmaceuticals,Distributed in MO region
2312646021,US-MIDWEST,7,MO Pharmaceuticals,Distributed in MO region
2102638297,US-MO,3,MO Pharmaceuticals,Distributed in MO region
6897331625,US-MIDWEST,8,MO Pharmaceuticals,Distributed in MO region
1377363732,US-MIDWEST,1,MO Pharmaceuticals,Distributed in MO region
7363141068,US-MO,10,MO Pharmaceuticals,Distributed in MO region
6471415930,US-MO,6,MO Pharmaceuticals,Distributed in MO region
7285141563,US-MIDWEST,6,MO Pharmaceuticals,Distributed in MO region
7958588099,US-MO,3,MO Pharmaceuticals,Distributed in MO region
8911140311,US-MO,9,MO Pharmaceuticals,Distributed in MO region
1954973576,US-MIDWEST,4,MO Pharmaceuticals,Distributed in MO region
6022383167,US-MIDWEST,1,MO Pharmaceuticals,Distributed in MO region
9217069690,US-MIDWEST,7,MO Pharmaceuticals,Distributed in MO region
7351313816,US-MIDWEST,8,MO Pharmaceuticals,Distributed in MO region
7600860027,US-MO,5,MO Pharmaceuticals,Distributed in MO region
9612971158,US-MO,10,MO Pharmaceuticals,Distributed in MO region
5395611231,US-MO,10,MO Pharmaceuticals,Distributed in MO region
4799965958,US-MO,1,MO Pharmaceuticals,Distributed in MO region
1756424964,US-MO,3,MO Pharmaceuticals,Distributed in MO region
8329094230,US-MIDWEST,1,MO Pharmaceuticals,Distributed in MO region
8321782810,US-MO,2,MO Pharmaceuticals,Distributed in MO region
8616026914,US-MIDWEST,7,MO Pharmaceuticals,Distributed in MO region
9493966760,US-MO,9,MO Pharmaceuticals,Distributed in MO region
5732550243,US-MIDWEST,7,MO Pharmaceuticals,Distributed in MO region
7089225914,US-MO,7,MO Pharmaceuticals,Distributed in MO region
1338175691,US-MO,6,MO Pharmaceuticals,Distributed in MO region
2143225134,US-MIDWEST,5,MO Pharmaceuticals,Distributed in MO region
4358147141,US-MIDWEST,4,MO Pharmaceuticals,Distributed in MO region
4451917445,US-MO,1,MO Pharmaceuticals,Distributed in MO region
8885272875,US-MIDWEST,9,MO Pharmaceuticals,Distributed in MO region
8311280651,US-MO,7,MO Pharmaceuticals,Distributed in MO region
5842071959,US-MIDWEST,10,MO Pharmaceuticals,Distributed in MO region
7722553317,US-MIDWEST,2,MO Pharmaceuticals,Distributed in MO region
1072289181,US-MO,7,MO Pharmaceuticals,Distributed in MO region
8447617153,US-MO,3,MO Pharmaceuticals,Distributed in MO region
1398255654,US-MO,10,MO Pharmaceuticals,Distributed in MO region
4969584249,US-MO,4,MO Pharmaceuticals,Distributed in MO region
1724769817,US-MIDWEST,3,MO Pharmaceuticals,Distributed in MO region
6402866931,US-MIDWEST,6,MO Pharmaceuticals,Distributed in MO region
9074063543,US-MO,4,MO Pharmaceuticals,Distributed in MO region
4403099728,US-MIDWEST,2,MO Pharmaceuticals,Distributed in MO region
8978057945,US-MO,6,MO Pharmaceuticals,Distributed in MO region
1677387695,US-MO,7,MO Pharmaceuticals,Distributed in MO region
